order_id,customer_id,order_date,status
1,4889,2025-07-25 19:14:02,Completed
2,824,2024-12-21 18:22:13,Completed
3,2427,2026-02-26 01:53:51,Completed
4,1470,2025-02-24 14:28:32,Completed
5,4376,2025-11-06 17:32:23,Completed
6,373,2025-08-12 03:18:47,Cancelled
7,4534,2025-04-11 01:54:34,Completed
8,1035,2024-08-26 12:42:43,Completed
9,4022,2024-10-05 17:09:12,Completed
10,101,2026-03-08 21:43:17,Completed
11,3846,2026-05-01 19:14:14,Completed
12,2792,2025-01-20 12:53:42,Completed
13,421,2025-06-25 10:12:01,Completed
14,3914,2025-04-03 05:55:07,Completed
15,536,2025-05-30 18:25:20,Completed
16,607,2025-05-11 02:08:57,Completed
17,440,2024-11-20 11:08:51,Completed
18,4611,2026-04-20 12:07:35,Cancelled
19,698,2025-01-30 11:31:46,Cancelled
20,971,2025-12-30 22:12:07,Completed
21,3410,2025-07-15 08:11:22,Completed
22,1849,2025-12-05 21:45:38,Completed
23,3117,2025-03-27 05:53:28,Completed
24,3627,2024-11-22 18:28:55,Completed
25,4822,2026-01-26 02:20:06,Cancelled
26,2502,2025-03-13 18:38:20,Completed
27,494,2025-09-29 05:48:01,Completed
28,813,2026-01-18 07:31:21,Cancelled
29,1703,2025-08-04 22:37:47,Completed
30,2168,2025-01-12 17:55:38,Completed
31,1287,2025-03-25 07:06:54,Completed
32,4522,2025-11-05 11:06:12,Pending
33,22,2026-01-15 20:13:35,Completed
34,4865,2024-12-08 23:28:09,Completed
35,268,2025-11-25 06:50:33,Completed
36,2317,2025-03-03 17:49:42,Completed
37,3720,2026-03-15 20:32:54,Pending
38,1913,2025-06-07 10:09:40,Cancelled
39,4832,2024-10-31 17:53:49,Completed
40,1621,2025-01-19 04:15:01,Completed
41,4462,2024-11-12 06:03:19,Completed
42,1221,2026-06-05 09:12:47,Cancelled
43,1166,2026-03-17 17:15:43,Pending
44,1360,2025-01-20 20:33:48,Completed
45,4875,2024-08-27 00:06:31,Completed
46,4663,2024-08-20 03:23:56,Cancelled
47,3598,2025-12-13 21:42:01,Completed
48,2492,2025-04-13 11:45:49,Completed
49,2231,2025-10-23 10:06:25,Completed
50,4046,2025-05-10 07:24:59,Completed
51,4900,2026-07-24 14:14:05,Pending
52,3540,2026-01-07 20:20:13,Completed
53,4946,2025-04-21 17:27:51,Completed
54,749,2024-08-22 23:40:44,Completed
55,4713,2026-05-23 00:18:31,Completed
56,170,2025-03-07 18:47:33,Cancelled
57,2208,2026-07-25 10:00:15,Completed
58,1436,2026-05-25 10:13:09,Completed
59,3623,2024-10-11 20:27:16,Cancelled
60,1487,2024-12-12 02:17:52,Cancelled
61,3571,2025-03-29 03:12:26,Completed
62,4029,2025-09-29 05:12:58,Cancelled
63,3851,2025-10-04 22:20:57,Completed
64,2731,2025-08-14 04:46:39,Completed
65,857,2025-03-21 03:12:07,Completed
66,2702,2025-09-09 10:38:34,Completed
67,4059,2025-03-02 17:12:40,Completed
68,3281,2025-06-15 17:48:57,Completed
69,4507,2024-10-02 01:01:19,Pending
70,722,2025-02-27 05:30:15,Completed
71,2649,2026-06-06 23:09:13,Completed
72,3312,2026-04-01 06:12:42,Completed
73,10,2025-02-10 08:23:28,Completed
74,4445,2026-04-16 05:55:03,Completed
75,445,2025-05-04 08:47:46,Completed
76,2964,2025-06-21 04:32:44,Completed
77,4084,2024-11-19 21:35:28,Completed
78,423,2025-10-31 13:05:38,Completed
79,4500,2025-07-13 15:45:37,Completed
80,2360,2025-01-22 08:53:07,Completed
81,3971,2025-08-01 15:09:16,Completed
82,4988,2025-01-23 23:35:43,Completed
83,1298,2026-07-26 09:30:02,Completed
84,113,2025-09-25 09:17:07,Completed
85,764,2025-12-19 20:01:35,Completed
86,930,2024-09-11 23:35:50,Completed
87,963,2026-04-10 02:08:37,Completed
88,1262,2024-11-10 17:02:17,Completed
89,2391,2026-02-10 11:36:09,Completed
90,2240,2026-02-22 21:20:41,Completed
91,3953,2025-12-26 04:40:56,Cancelled
92,1997,2026-04-08 00:35:17,Completed
93,1185,2025-10-07 05:49:58,Completed
94,4911,2024-10-06 09:37:19,Completed
95,1119,2025-01-07 01:26:21,Completed
96,2264,2026-04-18 09:36:17,Completed
97,3400,2026-05-12 18:03:56,Completed
98,4160,2025-05-21 23:44:12,Completed
99,22,2025-07-25 01:12:55,Completed
100,2446,2026-01-29 12:46:28,Completed
101,4751,2026-06-24 11:41:30,Cancelled
102,4012,2024-10-31 07:51:03,Completed
103,3659,2026-06-09 19:16:16,Completed
104,2828,2025-03-18 00:09:17,Completed
105,4452,2025-07-29 13:49:36,Completed
106,2637,2025-08-17 14:43:12,Completed
107,1957,2025-05-14 15:00:32,Completed
108,1914,2025-10-27 10:55:00,Completed
109,3366,2025-01-11 00:35:04,Pending
110,3875,2024-10-07 04:45:30,Completed
111,3124,2026-03-04 02:59:03,Completed
112,1247,2025-05-20 06:11:35,Completed
113,304,2025-10-19 02:42:05,Completed
114,4835,2026-06-18 04:39:30,Completed
115,823,2025-01-18 20:09:34,Completed
116,3607,2026-04-21 17:37:02,Pending
117,3744,2025-12-01 08:01:30,Pending
118,1181,2026-03-16 08:00:30,Completed
119,1265,2025-07-01 00:22:32,Pending
120,2172,2024-12-02 05:17:07,Completed
121,3257,2025-04-11 18:46:31,Completed
122,2692,2024-08-23 12:36:31,Completed
123,4372,2024-08-20 18:36:01,Completed
124,2595,2025-07-07 08:56:18,Completed
125,3998,2025-01-20 08:19:50,Completed
126,295,2024-09-19 08:56:11,Completed
127,1924,2025-11-19 06:35:28,Completed
128,2355,2026-04-16 22:39:11,Cancelled
129,741,2026-04-16 19:25:38,Completed
130,807,2026-02-09 08:17:58,Completed
131,824,2025-04-24 08:34:28,Completed
132,2454,2025-03-01 14:28:04,Cancelled
133,377,2025-02-08 09:43:39,Completed
134,460,2025-06-14 20:00:18,Completed
135,3071,2024-10-14 13:29:30,Completed
136,2001,2025-12-08 05:02:10,Completed
137,4637,2024-09-24 05:15:35,Completed
138,1476,2025-07-08 10:01:43,Completed
139,647,2026-08-01 07:23:44,Completed
140,3134,2025-11-23 21:08:58,Completed
141,1973,2024-10-22 11:26:11,Completed
142,4778,2025-05-06 06:21:58,Completed
143,3778,2026-01-10 18:22:28,Completed
144,3765,2025-07-02 17:52:20,Completed
145,77,2025-06-19 04:31:55,Completed
146,3812,2025-10-16 21:21:31,Cancelled
147,4478,2025-03-26 23:43:41,Completed
148,3619,2025-03-11 05:17:58,Cancelled
149,4814,2026-04-22 16:18:40,Completed
150,3476,2026-05-14 05:52:56,Completed
