order_item_id,order_id,product_id,quantity,price
1,1,94,4,431.37
2,2,171,2,365.63
3,2,231,2,446.36
4,2,58,3,190.09
5,2,294,2,168.74
6,2,159,1,430.0
7,3,243,1,192.66
8,3,246,2,213.67
9,4,219,2,123.43
10,5,19,3,311.17
11,5,272,2,80.73
12,5,18,4,278.26
13,5,287,3,279.81
14,5,257,2,390.01
15,6,265,1,399.13
16,6,217,4,420.73
17,6,83,2,125.28
18,6,275,4,244.33
19,7,173,4,195.67
20,7,24,4,142.6
21,7,244,4,166.79
22,7,191,3,258.03
23,8,183,4,151.35
24,8,125,3,146.07
25,8,149,1,180.07
26,8,2,3,141.14
27,8,227,4,452.9
28,9,182,1,207.15
29,9,151,1,81.5
30,10,169,1,292.39
31,10,14,3,50.91
32,11,271,4,446.33
33,11,78,2,118.33
34,11,176,4,344.99
35,12,150,3,437.98
36,12,242,2,233.54
37,12,24,1,142.6
38,12,79,3,168.56
39,12,59,1,476.98
40,13,44,3,431.25
41,13,31,4,280.69
42,13,156,2,432.71
43,14,208,4,459.15
44,15,268,1,325.53
45,16,59,1,476.98
46,16,176,3,344.99
47,16,196,4,338.03
48,16,46,2,300.22
49,17,9,3,114.12
50,17,226,3,107.38
51,17,24,1,142.6
52,18,160,3,409.21
53,19,155,1,465.75
54,19,284,2,300.1
55,19,67,4,67.25
56,19,12,4,173.42
57,19,293,1,175.16
58,20,159,3,430.0
59,20,124,3,39.05
60,20,224,3,36.79
61,20,260,1,479.3
62,21,202,2,249.72
63,21,288,2,240.67
64,22,150,4,437.98
65,22,72,2,159.3
66,22,156,3,432.71
67,22,167,1,168.92
68,23,20,2,290.79
69,23,121,3,499.23
70,23,34,3,161.15
71,23,95,3,30.04
72,24,209,4,71.0
73,24,127,1,492.01
74,24,21,1,27.68
75,25,183,2,151.35
76,25,281,1,249.68
77,25,140,4,84.98
78,26,85,3,331.2
79,26,54,3,361.24
80,26,6,4,113.23
81,26,57,4,256.29
82,27,290,4,150.65
83,28,38,4,75.72
84,28,8,1,326.69
85,29,209,1,71.0
86,29,115,1,284.79
87,29,118,3,69.78
88,29,195,1,51.23
89,30,282,1,246.34
90,30,187,1,417.69
91,31,196,3,338.03
92,32,134,4,105.78
93,32,198,2,126.2
94,32,190,4,223.68
95,33,58,2,190.09
96,33,179,2,168.45
97,34,56,2,314.52
98,34,226,4,107.38
99,34,257,4,390.01
100,34,203,2,329.75
101,35,300,3,296.85
102,35,256,3,482.05
103,36,144,3,187.76
104,36,20,1,290.79
105,36,289,4,226.85
